dataset,model,c,ql_trunc,precision0,recall0,f1
m5,HurdleDLinear,2.0,0.493293,0.802671,0.973931,0.880047
m5,LSTM,0.1,0.529791,0.830083,0.19509,0.315929
m5,LSTM,0.25,0.521148,0.820265,0.432381,0.566269
m5,LSTM,0.5,0.508152,0.772869,0.665023,0.714901
m5,LSTM,0.75,0.503074,0.73237,0.788484,0.759392
m5,LSTM,1.0,0.504648,0.701988,0.859235,0.772693
m5,LSTM,1.5,0.450775,0.860894,0.90395,0.881897
m5,LSTM,2.0,0.44827,0.838178,0.944464,0.888152
m5,MOMENT,0.1,0.809258,0.621343,0.0240436,0.0462958
m5,MOMENT,0.25,0.807028,0.684754,0.095369,0.167421
m5,MOMENT,0.5,0.797552,0.676206,0.273937,0.389916
m5,MOMENT,0.75,0.787259,0.654162,0.428945,0.518138
m5,MOMENT,1.0,0.778438,0.635104,0.560844,0.595668
m5,MOMENT,1.5,0.720916,0.798465,0.743138,0.769809
m5,MOMENT,2.0,0.6812,0.781642,0.856089,0.817173
m5,Moirai,0.1,0.51065,0.762368,0.51858,0.617275
m5,Moirai,0.25,0.509064,0.75431,0.579016,0.65514
m5,Moirai,0.5,0.505353,0.744465,0.649415,0.693699
m5,Moirai,0.75,0.501622,0.723909,0.72492,0.724414
m5,Moirai,1.0,0.49372,0.691303,0.862933,0.767642
m5,Moirai,1.5,0.4349,0.860232,0.910418,0.884614
m5,Moirai,2.0,0.431964,0.83854,0.949744,0.890685
m5,PatchMixer,0.1,0.491881,0.869948,0.31596,0.463558
m5,PatchMixer,0.25,0.48508,0.829842,0.522404,0.641174
m5,PatchMixer,0.5,0.476221,0.775981,0.710977,0.742058
m5,PatchMixer,0.75,0.473834,0.734467,0.815714,0.772961
m5,PatchMixer,1.0,0.477148,0.703738,0.876781,0.780786
m5,PatchMixer,1.5,0.422621,0.86425,0.914663,0.888742
m5,PatchMixer,2.0,0.422022,0.841939,0.950799,0.893064
m5,PatchTCN,0.1,0.510076,0.901485,0.177526,0.296636
m5,PatchTCN,0.25,0.500855,0.855315,0.425717,0.568482
m5,PatchTCN,0.5,0.487409,0.791477,0.665408,0.722988
m5,PatchTCN,0.75,0.482505,0.745374,0.789891,0.766987
m5,PatchTCN,1.0,0.484702,0.710981,0.862051,0.779262
m5,PatchTCN,1.5,0.432338,0.86768,0.904953,0.885924
m5,PatchTCN,2.0,0.429768,0.844345,0.945675,0.892142
m5,PatchTSMixer,0.1,0.5024,0.899351,0.1674,0.282261
